method,prediction_year,historical_year,weight,temperature_shift_c,monthly_hdd_f_days,payout_usd
trend_half_shift,2023,2003,0.043478260869565216,1.0009722045135792,251.4127508606401,1660.2750860640158
trend_half_shift,2023,2004,0.043478260869565216,0.9509235942879002,210.7034508478898,0.0
trend_half_shift,2023,2005,0.043478260869565216,0.9008749840622212,209.693775659824,0.0
trend_half_shift,2023,2006,0.043478260869565216,0.8508263738365422,242.90132570444985,809.13257044499
trend_half_shift,2023,2007,0.043478260869565216,0.8007777636108633,102.96620043350758,0.0
trend_half_shift,2023,2008,0.043478260869565216,0.7507291533851843,247.79718809766678,1298.718809766683
trend_half_shift,2023,2009,0.043478260869565216,0.7006805431595053,256.3181505801351,2150.815058013518
trend_half_shift,2023,2010,0.043478260869565216,0.6506319329338264,172.8904255386969,0.0
trend_half_shift,2023,2011,0.043478260869565216,0.6005833227081474,207.33480045900805,0.0
trend_half_shift,2023,2012,0.043478260869565216,0.5505347124824685,174.9678629032258,0.0
trend_half_shift,2023,2013,0.043478260869565216,0.5004861022567896,173.3216253346933,0.0
trend_half_shift,2023,2014,0.043478260869565216,0.4504374920311106,162.22267531556804,0.0
trend_half_shift,2023,2015,0.043478260869565216,0.40038888180543164,208.93040035700628,0.0
trend_half_shift,2023,2016,0.043478260869565216,0.35034027157975267,191.14530026775464,0.0
trend_half_shift,2023,2017,0.043478260869565216,0.3002916613540737,108.46950019125333,0.0
trend_half_shift,2023,2018,0.043478260869565216,0.2502430511283948,261.83125015937776,2702.1250159377814
trend_half_shift,2023,2019,0.043478260869565216,0.20019444090271582,183.29020017850314,0.0
trend_half_shift,2023,2020,0.043478260869565216,0.15014583067703685,209.84265013387736,0.0
trend_half_shift,2023,2021,0.043478260869565216,0.10009722045135791,91.13720005100089,0.0
trend_half_shift,2023,2022,0.043478260869565216,0.050048610225678955,246.3875500446258,1157.7550044625866
trend_recent_20,2023,2003,0.05,1.921149648314332,208.4044045597866,0.0
trend_recent_20,2023,2004,0.05,1.8250921658986154,168.32568663594483,0.0
trend_recent_20,2023,2005,0.05,1.7290346834828987,175.75248896434644,0.0
trend_recent_20,2023,2006,0.05,1.6329772010671821,208.27538491389774,0.0
trend_recent_20,2023,2007,0.05,1.5369197186514656,82.25962308998307,0.0
trend_recent_20,2023,2008,0.05,1.440862236235749,217.3847513946157,0.0
trend_recent_20,2023,2009,0.05,1.3448047538200325,226.1731375212225,0.0
trend_recent_20,2023,2010,0.05,1.2487472714043157,146.15186296386128,0.0
trend_recent_20,2023,2011,0.05,1.1526897889885992,183.51864273587196,0.0
trend_recent_20,2023,2012,0.05,1.0566323065728827,154.41736065971378,0.0
trend_recent_20,2023,2013,0.05,0.960574824157166,155.9302716468591,0.0
trend_recent_20,2023,2014,0.05,0.8645173417414493,145.8251132670386,0.0
trend_recent_20,2023,2015,0.05,0.7684598593257328,191.1360785835557,0.0
trend_recent_20,2023,2016,0.05,0.6724023769100163,177.23221731748725,0.0
trend_recent_20,2023,2017,0.05,0.5763448944942996,98.60900460829492,0.0
trend_recent_20,2023,2018,0.05,0.480287412078583,253.54965316517104,1873.9653165171092
trend_recent_20,2023,2019,0.05,0.3842299296628664,174.19642541838465,0.0
trend_recent_20,2023,2020,0.05,0.2881724472471498,202.89481906378847,0.0
trend_recent_20,2023,2021,0.05,0.1921149648314332,88.48708901285475,0.0
trend_recent_20,2023,2022,0.05,0.0960574824157166,244.06870288624788,925.8702886247931
expanding,2024,2000,0.041666666666666664,0.0,276.99,4503.000000000003
expanding,2024,2001,0.041666666666666664,0.0,257.09999999999997,2513.9999999999986
expanding,2024,2002,0.041666666666666664,0.0,324.51000000000005,9255.000000000007
